ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1574.04 0 22 0.293 0 0 30 0 0 0
101A 1574.15 0 5.75 0.255 0 0 0 0 0 0
102 1574.55 0 20 0.246 0 0 27.4 0 0 0
103 1575 0 2.45 0.173 0 0 12.4 0 0 0
104 1575.5 0 2.36 0.146 0 0 12.5 0 0 0
105 1576.03 0 5.5 0.15 0 0 10.7 0 0 0
106 1576.5 0 4.61 0.201 0 0 18.1 0 0 0
107 1577 0 9.59 0.243 0 0 26.3 0 0 0
108 1577.5 0 44.8 0.278 0 0 25.8 0 0 0
109 1577.95 0 11.9 0.263 0 0 23.5 0 0 0
110 1578.55 0 2.1 0.132 0 0 14.6 0 0 0
111 1579 0 4.95 0.207 0 0 18.6 0 0 0
112 1579.5 0 1.61 0.166 0 0 15.2 0 0 0
113 1580 0 34.1 0.235 0 0 20.5 0 0 0
114 1580.5 0 1.64 0.158 0 0 14.1 0 0 0
114A 1580.75 0 5.93 0.142 0 0 0 0 0 0
115 1581 0 0.23 0.103 0 0 14 0 0 0
115A 1581.14 0 0.16 0.098 0 0 0 0 0 0
116 1581.5 0 0.14 0.12 0 0 11.4 0 0 0
117 1582 0 0.3 0.145 0 0 12.7 0 0 0
118 1582.5 0 2.7 0.118 0 0 11.8 0 0 0
119 1583.05 0 0.48 0.1 0 0 12.3 0 0 0
120 1583.5 0 0.49 0.107 0 0 11 0 0 0
121 1584 0 0.17 0.11 0 0 12.7 0 0 0
122 1584.5 0 0.15 0.119 0 0 10.9 0 0 0
123 1585 0 0.82 0.146 0 0 10.9 0 0 0
124 1585.5 0 0.99 0.122 0 0 13.8 0 0 0
125 1586.07 0 0.56 0.121 0 0 10.2 0 0 0
126 1586.5 0 0.07 0.072 0 0 10.9 0 0 0
127 1587 0 0.66 0.137 0 0 12.2 0 0 0
128 1587.5 0 2.91 0.207 0 0 21.4 0 0 0
129 1588 0 8.35 0.196 0 0 23.9 0 0 0
130 1588.55 0 182 0.323 0 0 30.9 0 0 0
131 1589.05 0 3.84 0.111 0 0 10.9 0 0 0
132 1589.5 0 8.44 0.175 0 0 18.8 0 0 0
133 1590 0 0.81 0.116 0 0 12.2 0 0 0
134 1590.6 0 0.61 0.073 0 0 9.9 0 0 0
135 1591.1 0 0.98 0.104 0 0 10.2 0 0 0
