ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1510.68 0 0.08 0.087 0 0.05 0 0 0 0
102 1511.03 0 5.1 0.22 0 0.31 0 0 0 0
103 1511.64 0 0.18 0.065 0 0.01 0 0 0 0
105 1512.54 0 21 0.161 0 0.13 0 0 0 0
106 1513.12 0 1.05 0.065 0 0.39 0 0 0 0
107 1513.62 0 72 0.218 0 36 0 0 0 0
112 1517.7 0 0.05 0.087 0 0.01 0 0 0 0
114 1519.23 0 0.04 0.069 0 0.03 0 0 0 0
115 1519.56 0 0.04 0.082 0 0.06 0 0 0 0
201 1520.09 0 0.05 0.087 0 0.02 0 0 0 0
203 1511.07 0 1.5 0.158 0 0.98 0 0 0 0
204 1521.55 0 5.3 0.237 0 2.9 0 0 0 0
205 1522.03 0 4.9 0.204 0 3.1 0 0 0 0
206 1522.5 0 0.06 0.089 0 0.04 0 0 0 0
207 1523.03 0 0.05 0.072 0 0.03 0 0 0 0
208 1524.05 0 0.2 0.111 0 0.16 0 0 0 0
209 1524.55 0 0.46 0.116 0 0.1 0 0 0 0
210 1525.1 0 0.17 0.113 0 0.1 0 0 0 0
211 1525.56 0 0.42 0.128 0 0.31 0 0 0 0
212 1526.1 0 0.58 0.136 0 0.39 0 0 0 0
213 1526.66 0 0.79 0.149 0 0.62 0 0 0 0
214 1527.07 0 0.61 0.121 0 0.63 0 0 0 0
215 1527.85 0 0.37 0.145 0 0.17 0 0 0 0
216 1528.1 0 0.22 0.12 0 0.08 0 0 0 0
217 1528.55 0 0.15 0.103 0 0.1 0 0 0 0
302 1529.53 0 0.05 0.077 0 0.01 0 0 0 0
303 1530.08 0 0.09 0.09 0 0.02 0 0 0 0
306 1533.08 0 0.05 0.077 0 0.01 0 0 0 0
307 1534.08 0 0.02 0.034 0 0.01 0 0 0 0
308 1535.06 0 0.01 0.055 0 0.01 0 0 0 0
309 1536.09 0 0.05 0.056 0 0.01 0 0 0 0
311 1538.09 0 0.02 0.04 0 0.01 0 0 0 0
403 1540.53 0 0.06 0.057 0 0.01 0 0 0 0
404 1541.1 0 0.31 0.069 0 0.01 0 0 0 0
405 1541.5 0 1.98 0.189 0 1.36 0 0 0 0
407 1542.6 0 1.41 0.203 0 0.52 0 0 0 0
409 1543.58 0 31 0.097 0 0.2 0 0 0 0
410 1544.1 0 42 0.097 0 0.17 0 0 0 0
411 1544.58 0 0.1 0.09 0 0.09 0 0 0 0
412 1545.03 0 0.06 0.097 0 0.02 0 0 0 0
