ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1543.51 0 69 0.307 0 26 0 0 0 0
102 1543.75 0 26.5 0.183 0 25 0 0 0 0
103 1544 0 979 0.171 0 104 0 0 0 0
105 1544.53 0 3.6 0.111 0 0.37 0 0 0 0
106 1544.75 0 6.1 0.169 0 1.44 0 0 0 0
107 1545.05 0 0.23 0.098 0 0.32 0 0 0 0
113 1546.52 0 0.13 0.079 0 0.14 0 0 0 0
114 1546.75 0 3.6 0.134 0 0.85 0 0 0 0
115 1547.03 0 13.6 0.029 0 7.7 0 0 0 0
116 1547.25 0 0.92 0.1 0 0.06 0 0 0 0
117 1547.52 0 0.02 0.051 0 0.01 0 0 0 0
123 1549.02 0 0.03 0.047 0 0.02 0 0 0 0
