DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
993.5	8.756	-0.91634	43.718	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
993.75	8.7635	-0.916762	43.953	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
994	8.7925	-0.911644	43.92	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
994.25	8.8169	-0.903301	44.034	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
994.5	8.8014	-0.887594	45.004	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
994.75	8.786	-0.877801	45.7288	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
995	8.771	-0.891671	45.4725	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
995.25	8.7698	-0.906109	45.202	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
995.5	8.7778	-0.920926	44.922	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
995.75	8.784	-0.926253	41.926	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
996	8.789	-0.925257	37.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
996.25	8.7925	-0.933668	39.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
996.5	8.796	-0.94208	41.68	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
996.75	8.7925	-0.930099	42.885	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
997	8.789	-0.918118	44.09	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
997.25	8.7934	-0.925751	40.1652	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
997.5	8.7868	-0.92863	38.6398	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
997.75	8.7638	-0.924375	40.7148	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
998	8.7635	-0.955919	41.2501	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
