DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
991	-999.25	8.865	-0.85651	-999.25	-999.25	-999.25	-999.25	0.474404	29.0398	1.7779	-999.25
991.125	-999.25	8.865	-0.85651	-999.25	-999.25	-999.25	-999.25	0.474404	29.0398	1.7779	-999.25
991.25	-999.25	8.86	-0.841842	-999.25	-999.25	-999.25	-999.25	0.459752	31.7401	1.7878	-999.25
991.375	-999.25	8.8526	-0.832024	-999.25	-999.25	-999.25	-999.25	0.477519	31.1479	1.7878	-999.25
991.5	-999.25	8.8526	-0.832024	-999.25	-999.25	-999.25	-999.25	0.477519	31.1479	1.8071	-999.25
991.625	-999.25	8.8526	-0.832024	-999.25	-999.25	-999.25	-999.25	0.477519	31.1479	1.8071	-999.25
991.75	-999.25	8.8446	-0.823418	-999.25	-999.25	-999.25	-999.25	0.503389	29.7329	1.8287	-999.25
991.875	-999.25	8.843	-0.867414	-999.25	-999.25	-999.25	-999.25	0.53481	29.15	1.8287	-999.25
992	-999.25	8.843	-0.867414	-999.25	-999.25	-999.25	-999.25	0.53481	29.15	1.677	-999.25
992.125	-999.25	8.843	-0.867414	-999.25	-999.25	-999.25	-999.25	0.53481	29.15	1.677	-999.25
992.25	-999.25	8.8438	-0.916679	-999.25	-999.25	-999.25	-999.25	0.558124	29.1289	1.5151	-999.25
992.375	-999.25	8.8478	-0.934422	-999.25	-999.25	-999.25	-999.25	0.543459	30.5239	1.5151	-999.25
992.5	-999.25	8.8478	-0.934422	-999.25	-999.25	-999.25	-999.25	0.543459	30.5239	1.4855	-999.25
992.625	-999.25	8.8478	-0.934422	-999.25	-999.25	-999.25	-999.25	0.543459	30.5239	1.4855	-999.25
992.75	-999.25	8.8617	-0.944408	-999.25	-999.25	-999.25	-999.25	0.530848	31.9225	1.4808	-999.25
992.875	-999.25	8.9155	-0.923355	-999.25	-999.25	-999.25	-999.25	0.526462	33.3351	1.4808	-999.25
993	-999.25	8.9155	-0.923355	-999.25	-999.25	-999.25	-999.25	0.526462	33.3351	1.5761	-999.25
993.125	-999.25	8.9155	-0.923355	-999.25	-999.25	-999.25	-999.25	0.526462	33.3351	1.5761	-999.25
993.25	-999.25	8.9263	-0.907159	-999.25	-999.25	-999.25	-999.25	0.506978	32.1387	1.6368	-999.25
993.375	-999.25	8.937	-0.8942	-999.25	-999.25	-999.25	-999.25	0.477432	29.2037	1.6368	-999.25
993.5	-999.25	8.937	-0.8942	-999.25	-999.25	-999.25	-999.25	0.477432	29.2037	1.6745	-999.25
993.625	-999.25	8.937	-0.8942	-999.25	-999.25	-999.25	-999.25	0.477432	29.2037	1.6745	-999.25
993.75	-999.25	8.9346	-0.884283	-999.25	-999.25	-999.25	-999.25	0.468453	27.4749	1.7007	-999.25
993.875	-999.25	8.9306	-0.876395	-999.25	-999.25	-999.25	-999.25	0.473178	26.5499	1.7007	-999.25
994	-999.25	8.9306	-0.876395	-999.25	-999.25	-999.25	-999.25	0.473178	26.5499	1.7192	-999.25
994.125	-999.25	8.9306	-0.876395	-999.25	-999.25	-999.25	-999.25	0.473178	26.5499	1.7192	-999.25
994.25	-999.25	8.938	-0.862915	-999.25	-999.25	-999.25	-999.25	0.49844	31.7118	1.7414	-999.25
994.375	-999.25	8.953	-0.845708	-999.25	-999.25	-999.25	-999.25	0.537387	40.93	1.7414	-999.25
994.5	-999.25	8.953	-0.845708	-999.25	-999.25	-999.25	-999.25	0.537387	40.93	1.766	-999.25
994.625	-999.25	8.953	-0.845708	-999.25	-999.25	-999.25	-999.25	0.537387	40.93	1.766	-999.25
994.75	-999.25	8.9565	-0.934459	-999.25	-999.25	-999.25	-999.25	0.510302	35.845	1.8754	-999.25
994.875	-999.25	8.96	-1.02321	-999.25	-999.25	-999.25	-999.25	0.483218	30.76	1.8754	-999.25
995	-999.25	8.96	-1.02321	-999.25	-999.25	-999.25	-999.25	0.483218	30.76	1.9848	-999.25
995.125	-999.25	8.96	-1.02321	-999.25	-999.25	-999.25	-999.25	0.483218	30.76	1.9848	-999.25
995.25	-999.25	9.3312	-0.559755	-999.25	-999.25	-999.25	-999.25	0.477965	14.2798	1.9458	-999.25
995.375	-999.25	9.5212	-0.225568	-999.25	-999.25	-999.25	-999.25	0.465165	4.2326	1.9458	-999.25
995.5	-999.25	9.5212	-0.225568	-999.25	-999.25	-999.25	-999.25	0.465165	4.2326	1.9141	-999.25
995.625	-999.25	9.5212	-0.225568	-999.25	-999.25	-999.25	-999.25	0.465165	4.2326	1.9141	-999.25
995.75	-999.25	9.4392	-0.085363	-999.25	-999.25	-999.25	-999.25	0.441038	3.8391	1.8936	-999.25
995.875	-999.25	9.9549	-0.004236	-999.25	-999.25	-999.25	-999.25	0.434693	3.4488	1.8936	-999.25
996	-999.25	9.9549	-0.004236	-999.25	-999.25	-999.25	-999.25	0.434693	3.4488	1.8814	-999.25
996.125	-999.25	9.9549	-0.004236	-999.25	-999.25	-999.25	-999.25	0.434693	3.4488	1.8814	-999.25
996.25	-999.25	11.3675	-0.011761	-999.25	-999.25	-999.25	-999.25	0.455031	3.0631	1.8816	-999.25
996.375	-999.25	12.102	-0.010886	-999.25	-999.25	-999.25	-999.25	0.462987	3.0072	1.8816	-999.25
996.5	-999.25	12.102	-0.010886	-999.25	-999.25	-999.25	-999.25	0.462987	3.0072	1.8658	-999.25
996.625	-999.25	12.102	-0.010886	-999.25	-999.25	-999.25	-999.25	0.462987	3.0072	1.8658	-999.25
996.75	-999.25	12.667	-0.007913	-999.25	-999.25	-999.25	-999.25	0.467848	3.0337	1.846	-999.25
996.875	-999.25	11.5927	-0.008275	-999.25	-999.25	-999.25	-999.25	0.475018	2.9522	1.846	-999.25
997	-999.25	11.5927	-0.008275	-999.25	-999.25	-999.25	-999.25	0.475018	2.9522	1.8518	-999.25
997.125	-999.25	11.5927	-0.008275	-999.25	-999.25	-999.25	-999.25	0.475018	2.9522	1.8518	-999.25
997.25	-999.25	10.1087	-0.00947	-999.25	-999.25	-999.25	-999.25	0.482766	2.8437	1.8639	-999.25
997.375	-999.25	9.981	-0.010265	-999.25	-999.25	-999.25	-999.25	0.497723	2.775	1.8639	-999.25
997.5	-999.25	9.981	-0.010265	-999.25	-999.25	-999.25	-999.25	0.497723	2.775	1.8541	-999.25
997.625	-999.25	9.981	-0.010265	-999.25	-999.25	-999.25	-999.25	0.497723	2.775	1.8541	-999.25
997.75	-999.25	10.181	-0.010815	-999.25	-999.25	-999.25	-999.25	0.512127	2.7788	1.8361	-999.25
997.875	-999.25	10.336	-0.010783	-999.25	-999.25	-999.25	-999.25	0.517107	3.0328	1.8361	-999.25
998	-999.25	10.336	-0.010783	-999.25	-999.25	-999.25	-999.25	0.517107	3.0328	1.8069	-999.25
998.125	-999.25	10.336	-0.010783	-999.25	-999.25	-999.25	-999.25	0.517107	3.0328	1.8069	-999.25
998.25	-999.25	10.4238	-0.009635	-999.25	-999.25	-999.25	-999.25	0.513344	3.2248	1.8013	-999.25
998.375	-999.25	10.2425	-0.004021	-999.25	-999.25	-999.25	-999.25	0.474599	3.1685	1.8013	-999.25
998.5	-999.25	10.2425	-0.004021	-999.25	-999.25	-999.25	-999.25	0.474599	3.1685	1.8898	-999.25
998.625	-999.25	10.2425	-0.004021	-999.25	-999.25	-999.25	-999.25	0.474599	3.1685	1.8898	-999.25
998.75	-999.25	9.9924	0.006518	-999.25	-999.25	-999.25	-999.25	0.442554	3.1055	1.9628	-999.25
998.875	-999.25	9.6964	0.02034	-999.25	-999.25	-999.25	-999.25	0.414973	3.038	1.9628	-999.25
999	-999.25	9.6964	0.02034	-999.25	-999.25	-999.25	-999.25	0.414973	3.038	2.0254	-999.25
999.125	-999.25	9.6964	0.02034	-999.25	-999.25	-999.25	-999.25	0.414973	3.038	2.0254	-999.25
999.25	-999.25	9.9163	0.020871	-999.25	-999.25	-999.25	-999.25	0.427723	3.5589	1.9566	-999.25
999.375	-999.25	10.48	0.012546	-999.25	-999.25	-999.25	-999.25	0.46735	4.472	1.9566	-999.25
999.5	-999.25	10.48	0.012546	-999.25	-999.25	-999.25	-999.25	0.46735	4.472	1.8003	-999.25
999.625	-999.25	10.48	0.012546	-999.25	-999.25	-999.25	-999.25	0.46735	4.472	1.8003	-999.25
999.75	-999.25	10.635	0.023882	-999.25	-999.25	-999.25	-999.25	0.451872	4.523	1.7927	-999.25
999.875	-999.25	10.79	0.035217	-999.25	-999.25	-999.25	-999.25	0.436395	4.574	1.7927	-999.25
1000	-999.25	10.79	0.035217	-999.25	-999.25	-999.25	-999.25	0.436395	4.574	1.7851	-999.25
1000.125	-999.25	10.79	0.035217	-999.25	-999.25	-999.25	-999.25	0.436395	4.574	1.7851	-999.25
1000.25	-999.25	10.48	0.037348	-999.25	-999.25	-999.25	-999.25	0.427384	4.2145	1.8304	-999.25
1000.375	-999.25	10.17	0.039479	-999.25	-999.25	-999.25	-999.25	0.418372	3.855	1.8304	-999.25
1000.5	-999.25	10.17	0.039479	-999.25	-999.25	-999.25	-999.25	0.418372	3.855	1.8758	-999.25
1000.625	-999.25	10.17	0.039479	-999.25	-999.25	-999.25	-999.25	0.418372	3.855	1.8758	-999.25
1000.75	-999.25	9.7119	0.025135	-999.25	-999.25	-999.25	-999.25	0.422842	3.3863	2.0114	-999.25
