DEPTH	BHC	GR	LLD	LLM	MLL	NPHI	PEF	RHOB	SP
1000	104.271	45.836	52.361	9999.9961	2.555	-999.25	-999.25	-999.25	102.539
1000.1	103.779	47.386	52.265	9999.9961	2.557	-999.25	-999.25	-999.25	101.271
1000.2	106.219	49.131	52.457	9999.9961	2.558	-999.25	-999.25	-999.25	100.569
1000.3	109.13	50.796	52.862	9999.9961	2.558	-999.25	-999.25	-999.25	100.191
1000.4	108.958	51.779	53.682	9999.9961	2.559	-999.25	-999.25	-999.25	100.224
1000.5	109.554	52.124	54.717	9999.9961	2.56	-999.25	-999.25	-999.25	100.269
1000.6	110.808	52.105	55.85	9999.9961	2.56	-999.25	-999.25	-999.25	100.285
1000.7	113.719	51.824	56.911	9999.9961	2.56	-999.25	-999.25	-999.25	100.072
1000.8	115.105	51.507	57.71	9999.9961	2.558	-999.25	-999.25	-999.25	99.673
1000.9	115.629	51.167	58.304	9999.9961	2.556	-999.25	-999.25	-999.25	99.138
1001	117.032	50.815	58.498	9999.9961	2.551	-999.25	-999.25	-999.25	98.411
1001.1	116.231	50.284	58.587	9999.9961	2.549	-999.25	-999.25	-999.25	97.641
1001.2	113.752	49.624	58.597	9999.9961	2.547	-999.25	-999.25	-999.25	96.846
1001.3	111.242	49.144	58.647	9999.9961	2.549	-999.25	-999.25	-999.25	96.183
1001.4	109.423	48.816	58.723	9999.9961	2.551	-999.25	-999.25	-999.25	95.678
1001.5	108.242	48.627	58.825	9999.9961	2.552	-999.25	-999.25	-999.25	95.316
1001.6	105.771	48.433	58.865	9999.9961	2.551	-999.25	-999.25	-999.25	95.174
1001.7	104.366	48.161	58.862	9999.9961	2.55	-999.25	-999.25	-999.25	95.067
1001.8	104.161	47.802	58.811	9999.9961	2.548	-999.25	-999.25	-999.25	94.998
1001.9	102.688	47.205	58.783	9999.9961	2.547	-999.25	-999.25	-999.25	94.886
1002	101.052	46.663	58.847	9999.9961	2.547	-999.25	-999.25	-999.25	94.722
1002.1	99.289	46.213	59.036	9999.9961	2.548	-999.25	-999.25	-999.25	94.491
1002.2	99.747	46.048	59.572	9999.9961	2.55	-999.25	-999.25	-999.25	94.221
1002.3	100.345	46.17	60.152	9999.9961	2.552	-999.25	-999.25	-999.25	93.964
1002.4	100.763	46.714	60.739	9999.9961	2.553	-999.25	-999.25	-999.25	93.736
1002.5	100.364	47.334	60.362	6619.583	2.552	-999.25	-999.25	-999.25	93.574
1002.6	101.404	47.882	59.752	3671.043	2.551	-999.25	-999.25	-999.25	93.442
1002.7	105.686	48.252	59.006	2811.417	2.55	-999.25	-999.25	-999.25	93.349
1002.8	109.314	48.564	60.274	2297.158	2.55	-999.25	-999.25	-999.25	93.227
1002.9	113.496	48.885	63.087	1709.767	2.549	-999.25	-999.25	-999.25	93.068
1003	119.508	49.267	68.61	717.923	2.547	-999.25	-999.25	-999.25	92.833
1003.1	124.695	49.897	76.766	343.872	2.542	-999.25	-999.25	-999.25	92.606
1003.2	128.61	50.651	86.204	196.146	2.534	-999.25	-999.25	-999.25	92.417
1003.3	129.192	51.551	97.069	137.732	2.525	-999.25	-999.25	-999.25	92.347
1003.4	129.235	52.461	109.122	119.795	2.516	-999.25	-999.25	-999.25	92.409
1003.5	128.873	53.288	122.822	117.414	2.508	-999.25	-999.25	-999.25	92.558
1003.6	127.709	53.72	141.645	109.996	2.506	-999.25	-999.25	-999.25	92.852
1003.7	128.103	53.932	167.317	70.711	2.511	-999.25	-999.25	-999.25	93.192
1003.8	129.116	54.012	195.744	21.193	2.519	-999.25	-999.25	-999.25	93.556
1003.9	128.96	53.976	219.258	11.003	2.532	-999.25	-999.25	-999.25	93.919
1004	129.186	53.862	226.165	5.651	2.542	-999.25	-999.25	-999.25	94.323
1004.1	129.614	53.69	222.121	3.507	2.549	-999.25	-999.25	-999.25	94.76
1004.2	129.63	53.445	213.746	2.813	2.55	-999.25	-999.25	-999.25	95.276
1004.3	129.499	53.008	208.205	2.432	2.546	-999.25	-999.25	-999.25	95.779
1004.4	129.328	52.409	204.911	2.308	2.539	-999.25	-999.25	-999.25	96.266
1004.5	130.968	51.53	202.898	2.573	2.528	-999.25	-999.25	-999.25	96.622
1004.6	132.084	50.646	202.228	3.08	2.52	-999.25	-999.25	-999.25	96.9
1004.7	132.708	49.758	202.816	3.813	2.513	-999.25	-999.25	-999.25	97.105
1004.8	133.29	49.55	206.063	4.634	2.516	-999.25	-999.25	-999.25	97.231
1004.9	133.907	49.746	192.159	4.991	2.526	-999.25	-999.25	-999.25	97.375
