DEPTH	GR	LLD	LLS	MLL	NPHI	PEF	RHOB
1300	93.2794	0.9865	1.0191	1.2116	0.386638	3.8081	2.3652
1300.1	93.9293	0.9804	1.0117	1.1976	0.387216	3.8636	2.3638
1300.2	94.6635	0.9745	1.0035	1.1817	0.389904	3.9183	2.364
1300.3	95.2857	0.969	0.9947	1.1647	0.394162	3.9669	2.3653
1300.4	95.6507	0.9639	0.9859	1.1484	0.39949	4.0069	2.3672
1300.5	95.7695	0.9595	0.9778	1.1345	0.405468	4.0331	2.3689
1300.6	95.7533	0.9559	0.9708	1.1238	0.411579	4.0305	2.3697
1300.7	95.8437	0.9532	0.9654	1.1161	0.417077	3.9907	2.3696
1300.8	96.1074	0.9515	0.9617	1.1108	0.421255	3.9354	2.369
1300.9	96.3603	0.9509	0.9595	1.1075	0.423764	3.8988	2.3688
1301	96.3799	0.9514	0.9587	1.106	0.424524	3.8904	2.3696
1301.1	95.9729	0.9532	0.9588	1.1062	0.423502	3.8894	2.3715
1301.2	94.9952	0.9561	0.9597	1.1083	0.420706	3.871	2.374
1301.3	93.4643	0.9599	0.9615	1.1118	0.416357	3.8268	2.3764
1301.4	91.6731	0.9643	0.9645	1.1164	0.410994	3.7622	2.3783
1301.5	90.125	0.9692	0.9689	1.1223	0.405333	3.6978	2.3797
1301.6	89.2626	0.9742	0.9748	1.1301	0.399803	3.662	2.381
1301.7	89.3246	0.9793	0.9818	1.1406	0.394285	3.6717	2.3825
1301.8	90.1829	0.9845	0.9892	1.1537	0.388492	3.7133	2.384
1301.9	91.3589	0.9901	0.9964	1.1684	0.382623	3.7479	2.3852
1302	92.2483	0.9969	1.003	1.1822	0.377502	3.7466	2.3854
1302.1	92.4659	1.0057	1.0093	1.1917	0.374207	3.7133	2.3844
1302.2	92.062	1.0175	1.0158	1.1938	0.373226	3.6722	2.3824
1302.3	91.3704	1.0337	1.0236	1.1875	0.374194	3.6476	2.3797
1302.4	90.812	1.0555	1.0338	1.1746	0.376243	3.6506	2.3771
1302.5	90.7398	1.0843	1.0478	1.1593	0.378228	3.6856	2.3751
1302.6	91.3051	1.1213	1.0676	1.1473	0.378842	3.7427	2.3743
1302.7	92.3129	1.1677	1.0959	1.1455	0.37681	3.804	2.3753
1302.8	93.2925	1.2249	1.1365	1.1618	0.37109	3.8521	2.3786
1302.9	93.6143	1.2936	1.1935	1.2049	0.361082	3.8756	2.3842
1303	92.7555	1.3745	1.271	1.2843	0.345639	3.8733	2.3924
1303.1	90.4444	1.4674	1.3717	1.4123	0.3244	3.85	2.4031
1303.2	86.5648	1.5714	1.4967	1.604	0.298107	3.8215	2.416
1303.3	81.2626	1.6839	1.6444	1.8785	0.27113	3.8152	2.4296
1303.4	75.1292	1.8005	1.8094	2.2549	0.249101	3.8488	2.4412
1303.5	68.8379	1.9146	1.9824	2.7411	0.235828	3.9189	2.4468
1303.6	62.8758	2.0173	2.15	3.3068	0.227976	3.9963	2.4425
1303.7	57.614	2.0989	2.2954	3.8482	0.22232	4.0486	2.426
1303.8	53.4934	2.1507	2.4019	4.1987	0.215691	4.0456	2.3986
1303.9	50.8438	2.1682	2.4575	4.2453	0.212965	3.9748	2.3643
1304	49.6534	2.1521	2.4608	4.0377	0.217472	3.8598	2.3291
1304.1	49.7279	2.1088	2.4204	3.7239	0.230849	3.7483	2.2979
1304.2	50.7546	2.0476	2.3504	3.4239	0.246787	3.6845	2.274
1304.3	52.3989	1.9787	2.265	3.1892	0.258805	3.6862	2.2582
1304.4	54.2254	1.9108	2.1758	3.0258	0.264054	3.7347	2.2491
1304.5	55.6994	1.8502	2.0916	2.9208	0.264713	3.7872	2.2446
1304.6	56.5289	1.8009	2.0184	2.8574	0.264358	3.8035	2.2424
1304.7	56.6894	1.7646	1.9598	2.8211	0.266119	3.774	2.2409
1304.8	56.3503	1.7416	1.9166	2.8011	0.270644	3.7149	2.2394
1304.9	55.8136	1.7309	1.8879	2.7901	0.276524	3.656	2.238
1305	55.4025	1.7307	1.8716	2.7831	0.281342	3.6292	2.2369
1305.1	55.3368	1.7389	1.8652	2.7772	0.283671	3.6497	2.2367
1305.2	55.5852	1.7532	1.8663	2.7709	0.283943	3.7052	2.2374
1305.3	55.9741	1.7714	1.8729	2.7636	0.28391	3.7632	2.2389
1305.4	56.4484	1.7917	1.883	2.7547	0.284951	3.7933	2.2411
1305.5	57.0137	1.8129	1.895	2.7432	0.286976	3.7873	2.2441
1305.6	57.68	1.8342	1.9075	2.7276	0.289582	3.7563	2.2479
1305.7	58.3443	1.8551	1.9199	2.7068	0.292198	3.72	2.2528
1305.8	58.879	1.8755	1.932	2.6816	0.294204	3.6904	2.2587
1305.9	59.2358	1.8954	1.9441	2.6541	0.295128	3.6695	2.2655
1306	59.4876	1.9146	1.9568	2.6271	0.295163	3.6466	2.2728
1306.1	59.8603	1.9334	1.9699	2.603	0.295099	3.6013	2.2799
1306.2	60.5352	1.9518	1.9835	2.5825	0.295522	3.5185	2.286
1306.3	61.4689	1.9699	1.997	2.5649	0.296373	3.4109	2.2906
1306.4	62.5448	1.9879	2.0105	2.5486	0.297145	3.3106	2.2938
1306.5	63.5606	2.0056	2.0241	2.532	0.297213	3.2486	2.2957
1306.6	64.3285	2.0232	2.038	2.5154	0.296243	3.2365	2.2971
1306.7	64.7228	2.0403	2.0523	2.5007	0.294438	3.2743	2.2984
1306.8	64.6488	2.0566	2.0668	2.4898	0.292445	3.3493	2.3001
1306.9	64.1506	2.0718	2.0813	2.4837	0.290881	3.4384	2.3025
1307	63.4507	2.0852	2.0959	2.4809	0.289906	3.5106	2.3053
1307.1	62.8798	2.0964	2.1106	2.4794	0.289319	3.5456	2.3088
1307.2	62.751	2.1054	2.1254	2.4779	0.288971	3.5491	2.3131
1307.3	63.1209	2.1122	2.1397	2.4777	0.288971	3.5395	2.3182
1307.4	63.928	2.1169	2.1521	2.4812	0.289655	3.529	2.3238
1307.5	64.9858	2.1197	2.1605	2.4889	0.291319	3.517	2.3292
1307.6	66.0778	2.1204	2.163	2.4962	0.293968	3.5009	2.3334
1307.7	67.1091	2.1182	2.1592	2.4934	0.297206	3.4917	2.3361
1307.8	68.0673	2.1123	2.1501	2.4709	0.300297	3.5019	2.3374
1307.9	68.8447	2.1019	2.1382	2.4278	0.302283	3.5415	2.3381
1308	69.2242	2.0871	2.1262	2.3749	0.302348	3.6074	2.3386
1308.1	68.9876	2.0688	2.1158	2.3302	0.30017	3.6793	2.3395
1308.2	68.075	2.0493	2.107	2.3098	0.296115	3.7286	2.3406
1308.3	66.6354	2.0317	2.0982	2.3206	0.290761	3.7365	2.3419
1308.4	65.1378	2.019	2.0869	2.3552	0.284922	3.7171	2.3435
1308.5	64.0938	2.0137	2.0715	2.3901	0.279945	3.7083	2.3458
1308.6	63.8593	2.0171	2.0527	2.3917	0.277177	3.7353	2.3493
1308.7	64.6497	2.0295	2.0348	2.3364	0.277211	3.7909	2.3543
1308.8	66.4871	2.0494	2.025	2.2334	0.279075	3.8332	2.3608
1308.9	69.0622	2.0748	2.0307	2.1219	0.280405	3.8252	2.3692
1309	71.6953	2.1032	2.0572	2.0464	0.278649	3.7752	2.3791
1309.1	73.5009	2.1324	2.1052	2.0392	0.272666	3.7312	2.3892
