DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
145.75	-999.25	12.67	-0.850173	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
145.875	-999.25	12.6875	-0.850515	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146	-999.25	12.7	-0.852124	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.125	-999.25	12.66	-0.855155	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.25	-999.25	12.66	-0.848179	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.375	-999.25	12.645	-0.854464	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.5	-999.25	12.64	-0.860009	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.625	-999.25	12.64	-0.865359	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.75	-999.25	12.645	-0.875558	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
146.875	-999.25	12.6575	-0.879826	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147	-999.25	12.64	-0.896766	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.125	-999.25	12.64	-0.899	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.25	-999.25	12.65	-0.906861	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.375	-999.25	12.6712	-0.915674	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.5	-999.25	12.69	-0.919495	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.625	-999.25	12.66	-0.911439	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.75	-999.25	12.66	-0.911278	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
147.875	-999.25	12.69	-0.905971	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148	-999.25	12.665	-0.893023	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.125	-999.25	12.6325	-0.877059	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.25	-999.25	12.64	-0.86288	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.375	-999.25	12.64	-0.863167	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.5	-999.25	12.64	-0.843625	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.625	-999.25	12.64	-0.841168	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
148.75	-999.25	12.64	-0.844158	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.6511
148.875	-999.25	12.64	-0.847666	32.7362	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.0596
149	-999.25	12.64	-0.846071	34.93	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.2761
149.125	-999.25	12.64	-0.846484	33.7987	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.3438
149.25	-999.25	12.64	-0.849931	34.45	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.2718
149.375	-999.25	12.64	-0.865115	34.9588	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.1297
149.5	-999.25	12.64	-0.885091	33.59	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.1554
149.625	-999.25	12.6425	-0.884694	33.3238	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.1563
149.75	-999.25	12.655	-0.884124	31.6926	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.4622
149.875	-999.25	12.645	-0.896843	34.0326	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.6563
150	-999.25	12.64	-0.893579	34.17	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.6641
150.125	-999.25	12.6375	-0.87435	33.02	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.6694
150.25	-999.25	12.6325	-0.837566	31.4399	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.4638
150.375	-999.25	12.6388	-0.833001	29.6649	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.4598
150.5	-999.25	12.64	-0.839873	32.09	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	46.3355
150.625	-999.25	12.64	-0.825412	34.4713	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.8658
150.75	-999.25	12.62	-0.814066	36.715	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.0905
150.875	-999.25	12.615	-0.81449	37.4475	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.4737
151	-999.25	12.64	-0.819647	37.31	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.8569
151.125	-999.25	12.64	-0.832021	38.65	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.5603
151.25	-999.25	12.64	-0.834874	38.65	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.4688
151.375	-999.25	12.64	-0.843221	38.9575	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.4001
151.5	-999.25	12.64	-0.855097	38.385	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.1957
151.625	-999.25	12.64	-0.866913	38.9998	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.9901
151.75	-999.25	12.64	-0.876414	42.4325	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.9688
151.875	-999.25	12.64	-0.882603	41.3387	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.9688
152	-999.25	12.62	-0.878071	41.09	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.0625
152.125	-999.25	12.61	-0.872148	40.2151	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.1697
152.25	-999.25	12.64	-0.869019	38.5551	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.9622
152.375	-999.25	12.64	-0.86236	40.7426	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.551
152.5	-999.25	12.66	-0.853098	43.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.4688
152.625	-999.25	12.6475	-0.845984	42.8687	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.8415
152.75	-999.25	12.64	-0.836403	40.84	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.472
152.875	-999.25	12.64	-0.820341	38.6125	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.0883
153	-999.25	12.64	-0.802424	37.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.701
153.125	-999.25	12.6462	-0.793244	37.7924	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.75
153.25	-999.25	12.6775	-0.792206	39.255	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.0214
153.375	-999.25	12.645	-0.791735	39.9075	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.2188
153.5	-999.25	12.635	-0.793877	39.68	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.2188
153.625	-999.25	12.64	-0.799793	38.2827	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.2188
153.75	-999.25	12.64	-0.810267	34.2225	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	45.2188
153.875	-999.25	12.64	-0.808275	32.6787	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.7105
154	-999.25	12.64	-0.817546	30.95	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	44.2188
154.125	-999.25	12.64	-0.813151	30.7312	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.7286
154.25	-999.25	12.64	-0.807267	30.655	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	43.1151
154.375	-999.25	12.64	-0.799152	30.635	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	42.4983
154.5	-999.25	12.64	-0.791038	30.51	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	41.8854
154.625	-999.25	12.6575	-0.799287	32.6862	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	41.1201
154.75	-999.25	12.645	-0.791572	33.0175	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.5082
154.875	-999.25	12.64	-0.800912	33.855	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.1054
155	-999.25	12.64	-0.815023	32.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.75
155.125	-999.25	12.64	-0.829256	31.3438	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.75
155.25	-999.25	12.64	-0.850583	30.5125	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.75
155.375	-999.25	12.64	-0.867674	29.6925	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.75
155.5	-999.25	12.64	-0.87329	29.225	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.75
155.625	-999.25	12.64	-0.876523	29.6099	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.7908
155.75	-999.25	12.64	-0.876441	32.9926	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	39.9951
155.875	-999.25	12.64	-0.872705	36.2739	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.3762
156	-999.25	12.7	-0.877413	45.75	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.624
156.125	-999.25	12.675	-0.918219	48.3063	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.6086
156.25	-999.25	12.66	-0.977741	49.92	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	40.0741
156.375	-999.25	12.6525	-1.034008	49.3063	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	38.8201
156.5	-999.25	12.64	-1.06939	48.15	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	37.3903
156.625	-999.25	12.5675	-0.590402	46.9713	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	34.686
156.75	-999.25	12.555	-0.407589	46.2275	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	30.6082
156.875	-999.25	12.6175	-0.201736	45.51	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	25.3612
157	-999.25	12.825	-0.096697	44.775	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	19.3153
157.125	-999.25	12.8225	-0.015698	43.885	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13.0016
157.25	-999.25	12.175	0.045057	43.5775	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	9.3252
157.375	-999.25	11.9625	0.045486	45.0213	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	6.7632
157.5	-999.25	12	0.031865	44.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	4.7486
157.625	-999.25	12.0625	0.019578	45.0575	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	3.054
157.75	-999.25	12.095	0.011573	45.915	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1.7002
157.875	-999.25	12.0488	0.012033	46.9375	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	0.8843
158	-999.25	11.98	0.013855	48.15	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-0.3517
158.125	-999.25	11.7538	0.027949	52.7099	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-1.4981
158.25	-999.25	11.6225	0.023669	54.4099	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-2.6824
158.375	-999.25	11.5475	0.0206	56.3312	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-3.928
158.5	-999.25	11.51	0.018339	58.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-5.0309
158.625	-999.25	12.4512	0.012147	57.5313	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-6.12
158.75	-999.25	13.5075	0.006854	55.9875	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-6.8255
158.875	-999.25	14.335	0.001147	54.3424	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-7.1884
159	-999.25	13.91	-0.003308	52.825	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-7.3719
159.125	-999.25	12.9926	-0.005614	51.0401	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-7.5869
159.25	-999.25	11.93	-0.001273	48.2899	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-8.0045
159.375	-999.25	11.955	0.002436	45.9899	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-9.1858
159.5	-999.25	12.01	0.01176	47.46	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-10.1011
159.625	-999.25	12.1038	0.0112	47.3475	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-11.0099
159.75	-999.25	12.185	0.011506	49.64	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-11.9788
159.875	-999.25	12.2025	0.010037	51.19	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-12.8076
160	-999.25	12.19	0.006516	49.84	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-13.8355
160.125	-999.25	12.8362	0.002446	48.1527	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-15.0362
160.25	-999.25	13.7675	0.004167	44.2651	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-16.1373
160.375	-999.25	14.2825	0.005967	43.2275	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-17.2434
160.5	-999.25	14.185	0.008832	44.79	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-18.4379
160.625	-999.25	13.905	0.011968	47.7348	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-19.4591
160.75	-999.25	13.97	0.013171	52.2125	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-20.2895
160.875	-999.25	15.1451	0.011358	51.7437	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-21.1118
161	-999.25	15.71	0.004951	48.21	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-21.8235
161.125	-999.25	14.935	0.004225	46.3787	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-22.375
161.25	-999.25	14.095	0.004309	43.73	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-22.75
161.375	-999.25	13.3	0.003287	43.155	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-22.75
161.5	-999.25	12.6	0.000721	44.78	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-22.3948
161.625	-999.25	12.65	-0.000426	42.0612	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-22.1168
161.75	-999.25	12.66	-0.002331	41.57	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-21.9118
161.875	-999.25	12.64	-0.004515	42.1963	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-21.579
162	-999.25	12.64	-0.006126	41.34	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-20.7566
162.125	-999.25	12.5	-0.012049	43.3987	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-19.9396
162.25	-999.25	12.5	-0.012395	44.9425	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-19.1184
162.375	-999.25	12.4625	-0.009001	43.1449	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-18.5159
162.5	-999.25	12.475	-0.00733	42.935	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-18.0971
162.625	-999.25	12.52	-0.005509	42.9601	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-17.6422
