DEPTH	BHC	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
116.75	78.7947	-999.25	28.7734	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
117	82.3338	-999.25	34.73	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
117.25	76.617	-999.25	36.0245	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
117.5	75.2364	-999.25	38.2931	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
117.75	72.4649	-999.25	37.3144	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
118	75.2432	-999.25	33.3052	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
118.25	71.5282	-999.25	31.8532	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
118.5	75.7732	-999.25	33.6909	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
118.75	81.9199	-999.25	31.7813	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
119	86.2959	-999.25	31.7218	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
119.25	76.863	-999.25	34.5459	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
119.5	70.9761	-999.25	36.0544	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
119.75	67.5031	-999.25	37.147	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
120	68.2061	-999.25	36.9389	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
120.25	60.3043	-999.25	35.2584	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
120.5	59.7088	-999.25	34.5976	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
120.75	72.0397	-999.25	33.7573	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
121	76.5255	-999.25	32.8097	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
121.25	78.2103	-999.25	33.5591	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
121.5	78.868	-999.25	34.953	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
121.75	77.1129	-999.25	36.6028	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
122	73.214	-999.25	37.3243	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
122.25	62.238	-999.25	35.8145	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
122.5	67.2011	-999.25	34.664	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
122.75	83.6226	-999.25	33.8052	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
123	83.7908	-999.25	37.6292	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
123.25	80.4572	-999.25	40.3381	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
123.5	82.9976	-999.25	39.6851	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
123.75	86.7369	-999.25	34.2944	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
124	87.6366	-999.25	32.6984	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
124.25	83.7774	-999.25	31.6262	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
124.5	85.0635	-999.25	32.5733	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
124.75	84.865	-999.25	35.1895	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-73.5846
125	82.6966	-999.25	36.3239	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-73.0094
125.25	89.0731	-999.25	33.749	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-75.0361
125.5	89.4813	-999.25	32.6605	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-77.0627
125.75	75.6234	-999.25	33.7437	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-79.0893
126	84.2135	-999.25	32.2343	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-81.116
126.25	90.3045	-999.25	31.406	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-83.1426
126.5	91.2117	-999.25	32.2623	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-82.2724
126.75	91.2428	-999.25	30.7873	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-85.6059
127	84.0406	-999.25	35.5805	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-86.9028
127.25	89.1894	-999.25	37.837	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-87.5001
127.5	82.2507	-999.25	34.3402	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-85.0741
127.75	80.6796	-999.25	31.9509	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-80.9288
128	81.5461	-999.25	25.4612	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-77.4496
128.25	74.1892	-999.25	24.7283	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-79.6187
128.5	77.0189	-999.25	30.4853	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-82.4808
128.75	85.2481	-999.25	39.1868	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-86.4497
129	87.3493	-999.25	43.1936	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-92.0946
129.25	87.0661	-999.25	42.2445	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-93.4017
129.5	58.3057	-999.25	42.3127	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-98.5131
129.75	121.1363	-999.25	43.2478	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-111.7736
130	136.7359	-999.25	43.5599	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-79.7838
130.25	152.3356	-999.25	40.341	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-33.8964
130.5	167.0141	-999.25	38.5289	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-34.3592
130.75	210.9369	-999.25	39.3982	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-42.1038
131	216.6665	-999.25	41.3852	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-47.7907
131.25	205.9546	-999.25	48.2842	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-47.5304
131.5	195.2426	-999.25	54.0011	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-49.1097
131.75	194.3062	-999.25	58.464	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-50.4784
132	191.8525	-999.25	61.3581	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.4586
132.25	189.0623	-999.25	58.9384	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.7466
132.5	186.0433	-999.25	55.1848	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.0346
132.75	184.6918	-999.25	53.6343	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.9237
133	185.1288	-999.25	53.8205	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.0642
133.25	182.5217	-999.25	53.3104	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.0413
133.5	179.8052	-999.25	53.938	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.8922
133.75	178.0543	-999.25	52.061	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.8647
134	177.6803	-999.25	47.9577	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2363
134.25	175.2201	-999.25	51.5225	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2392
134.5	173.8829	-999.25	52.1354	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2839
134.75	175.1906	-999.25	48.5116	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.5782
135	178.0298	-999.25	47.7065	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.6223
135.25	179.2227	-999.25	48.6678	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.2352
