DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1500	102.173	8.807	82.813	1.212	1.293	1.634	0.32328	70.945
1500.125	102.173	8.807	82.813	1.2187	1.3275	1.7203	0.32328	70.945
1500.25	93.8725	8.817	87.901	1.213	1.326	1.7365	0.31482	71.4525
1500.375	97.077	8.815	86.319	1.1975	1.2908	1.671	0.30681	71.878
1500.5	97.077	8.815	86.319	1.18	1.246	1.572	0.30681	71.878
1500.625	97.077	8.815	86.319	1.1607	1.2052	1.4722	0.30681	71.878
1500.75	106.563	8.816	76.2085	1.139	1.1735	1.3865	0.26246	72.1145
1500.875	106.693	8.824	70.816	1.112	1.15	1.3135	0.23472	72.03
1501	106.693	8.824	70.816	1.079	1.134	1.261	0.23472	72.03
1501.125	106.693	8.824	70.816	1.044	1.121	1.2307	0.23472	72.03
1501.25	108.901	8.8275	74.8585	1.0115	1.104	1.226	0.27889	71.947
1501.375	112.511	8.84	80.469	0.9865	1.0825	1.2355	0.325	72.457
1501.5	112.511	8.84	80.469	0.973	1.059	1.253	0.325	72.457
1501.625	112.511	8.84	80.469	0.9743	1.045	1.2678	0.325	72.457
1501.75	111.614	8.866	80.731	0.984	1.0395	1.279	0.34517	72.1815
1501.875	109.024	8.891	79.004	0.9997	1.0437	1.2865	0.34915	70.753
1502	109.024	8.891	79.004	1.018	1.053	1.294	0.34915	70.753
1502.125	109.024	8.891	79.004	1.0323	1.064	1.3065	0.34915	70.753
1502.25	109.02	8.8926	78.351	1.042	1.074	1.325	0.351465	70.182
1502.375	108.201	8.8942	78.101	1.0465	1.0825	1.3487	0.34568	69.035
1502.5	108.201	8.8942	78.101	1.05	1.089	1.372	0.34568	69.035
1502.625	108.201	8.8942	78.101	1.0548	1.0963	1.3885	0.34568	69.035
1502.75	107.69	8.8958	76.987	1.0655	1.104	1.3945	0.339605	67.588
1502.875	106.773	8.8974	75.507	1.0822	1.1147	1.3967	0.33681	68.511
1503	106.773	8.8974	75.507	1.11	1.133	1.406	0.33681	68.511
1503.125	106.773	8.8974	75.507	1.1448	1.1625	1.43	0.33681	68.511
1503.25	106.8945	8.899	75.2725	1.185	1.206	1.4765	0.33386	69.086
1503.375	102.975	8.885	75.931	1.2267	1.2622	1.5537	0.33056	68.116
1503.5	102.975	8.885	75.931	1.269	1.326	1.662	0.33056	68.116
1503.625	102.975	8.885	75.931	1.3165	1.392	1.8263	0.33056	68.116
1503.75	96.21	8.8115	77.113	1.373	1.4555	2.008	0.324745	68.047
1503.875	91.97	8.706	76.926	1.4475	1.5137	2.1717	0.31388	69.015
1504	91.97	8.706	76.926	1.538	1.568	2.294	0.31388	69.015
1504.125	91.97	8.706	76.926	1.646	1.6258	2.3608	0.31388	69.015
1504.25	95.8555	8.637	72.0335	1.755	1.6985	2.437	0.295375	70.87
1504.375	96.402	8.608	68.559	1.8565	1.79	2.559	0.28391	71.275
1504.5	96.402	8.608	68.559	1.953	1.9	2.74	0.28391	71.275
1504.625	96.402	8.608	68.559	2.0603	2.0253	2.9543	0.28391	71.275
1504.75	93.875	8.617	71.199	2.202	2.184	3.201	0.28358	70.0835
1504.875	89.977	8.658	73.633	2.3842	2.3922	3.5167	0.27727	70.749
1505	89.977	8.658	73.633	2.619	2.705	4.071	0.27727	70.749
1505.125	89.977	8.658	73.633	2.8863	3.1299	5.0633	0.27727	70.749
1505.25	83.6545	8.6745	74.275	3.1615	3.5765	6.2915	0.26595	72.4555
1505.375	69.217	8.64	68.083	3.4352	3.9099	7.1674	0.24035	72.863
1505.5	69.217	8.64	68.083	3.708	4.086	7.279	0.24035	72.863
1505.625	69.217	8.64	68.083	4.0001	4.067	6.2338	0.24035	72.863
1505.75	70.666	8.6065	52.8345	4.2895	4.07	5.294	0.19484	72.592
1505.875	80.095	8.6058	46.725	4.5115	4.145	4.7906	0.1637	71.891
1506	80.095	8.6058	46.725	4.6	4.269	4.792	0.1637	71.891
1506.125	80.095	8.6058	46.725	4.4987	4.3845	5.294	0.1637	71.891
1506.25	84.248	8.605	54.989	4.216	4.3745	6.082	0.17133	70.236
