DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1500	115.207	10.966	64.323	0.624	0.644	1.204	0.36338	3.396	2.314	92.665
1500.25	115.8545	10.9185	66.801	0.627	0.6465	1.184	0.36096	3.37	2.3255	92.782
1500.5	116.684	10.907	69.685	0.632	0.654	1.186	0.36103	3.36	2.328	92.782
1500.75	116.6665	10.9085	69.9175	0.637	0.659	1.2075	0.35874	3.3555	2.342	92.933
1501	116.576	10.902	68.62	0.641	0.66	1.22	0.36001	3.372	2.347	93.011
1501.25	116.6185	10.9	67.621	0.644	0.659	1.209	0.369745	3.3825	2.3105	92.8445
1501.5	116.922	10.93	67.695	0.643	0.657	1.197	0.38689	3.393	2.258	92.712
1501.75	117.3605	11.032	67.632	0.6405	0.656	1.197	0.39177	3.4125	2.2355	92.704
1502	117.598	11.151	67.603	0.64	0.658	1.2	0.39047	3.439	2.245	92.711
1502.25	117.256	11.179	69.1015	0.6425	0.662	1.2015	0.393285	3.4615	2.2735	92.718
1502.5	116.461	11.117	70.534	0.646	0.667	1.209	0.38506	3.493	2.308	92.653
1502.75	115.796	11.05	70.205	0.6485	0.6695	1.218	0.37355	3.5265	2.3245	92.5295
1503	115.76	11.013	70.11	0.652	0.671	1.216	0.37412	3.558	2.323	92.528
1503.25	116.0575	10.9845	71.7495	0.657	0.6745	1.214	0.37692	3.4915	2.311	92.7295
1503.5	116.021	10.955	72.232	0.666	0.681	1.215	0.3772	3.423	2.299	93.005
1503.75	115.925	10.9055	72.126	0.6835	0.696	1.2145	0.36979	3.3545	2.2995	93.2175
1504	115.418	10.824	71.614	0.706	0.719	1.227	0.35645	3.489	2.317	93.458
1504.25	113.945	10.7045	69.693	0.7265	0.7365	1.2615	0.341315	3.7195	2.3505	93.804
1504.5	112.41	10.619	67.738	0.741	0.744	1.283	0.33677	3.774	2.368	93.96
1504.75	112.278	10.6545	67.1745	0.7475	0.7435	1.2665	0.347655	3.5565	2.344	93.737
1505	113.396	10.751	67.854	0.746	0.74	1.249	0.35728	3.374	2.308	93.534
1505.25	114.6315	10.8615	68.435	0.73	0.7335	1.244	0.360505	3.41	2.2775	93.657
1505.5	115.783	10.919	69.565	0.699	0.718	1.245	0.36649	3.413	2.266	93.801
1505.75	116.6045	10.8015	70.8335	0.6605	0.6865	1.241	0.36252	3.4385	2.2775	93.84
1506	115.221	10.443	74.177	0.633	0.651	1.201	0.34181	3.475	2.306	94.212
1506.25	109.837	9.9485	81.204	0.629	0.6395	1.1515	0.305	3.533	2.3665	95.052
1506.5	103.417	9.657	85.947	0.64	0.659	1.156	0.27437	3.736	2.423	95.644
1506.75	101.9855	9.7385	83.3845	0.6625	0.6925	1.2345	0.27615	3.898	2.4035	95.295
1507	106.321	10.011	79.56	0.711	0.732	1.265	0.29856	3.92	2.341	94.401
1507.25	111.0635	10.2155	77.742	0.7935	0.785	1.2335	0.33912	3.6765	2.324	93.8025
1507.5	111.913	10.244	73.875	0.863	0.834	1.257	0.3487	3.373	2.358	93.845
1507.75	110.209	10.151	70.0875	0.866	0.8475	1.3105	0.342455	3.2865	2.381	94.3915
1508	109.055	10.001	68.292	0.796	0.794	1.341	0.33504	3.239	2.367	95.023
1508.25	109.088	9.808	67.083	0.686	0.6845	1.308	0.322615	3.1685	2.3545	95.6555
1508.5	109.931	9.573	66.907	0.6	0.591	1.169	0.30675	3.141	2.356	96.533
1508.75	110.9055	9.418	66.7515	0.5545	0.556	1.012	0.30184	3.118	2.3535	97.2505
1509	113.406	9.382	67.436	0.534	0.565	1.001	0.30476	3.131	2.354	97.218
1509.25	117.924	9.3655	67.43	0.5425	0.5995	1.1395	0.29729	3.3335	2.3675	96.7125
1509.5	119.575	9.384	64.501	0.588	0.651	1.214	0.28564	3.512	2.398	96.404
1509.75	116.023	9.4915	61.6055	0.6575	0.705	1.2275	0.28018	3.828	2.434	96.084
1510	113.881	9.632	59.268	0.711	0.732	1.291	0.27955	4.094	2.433	95.538
1510.25	118.9255	9.739	58.8075	0.7325	0.732	1.271	0.293015	3.745	2.402	95.2705
1510.5	124.261	9.826	61.161	0.741	0.73	1.207	0.31475	3.393	2.378	95.357
1510.75	124.634	9.9295	64.052	0.7425	0.737	1.2095	0.32909	3.397	2.3725	95.4735
1511	122.911	9.996	64.508	0.739	0.746	1.253	0.33792	3.439	2.376	95.431
1511.25	120.066	10.01	63.2285	0.732	0.7445	1.293	0.34508	3.414	2.369	95.276
1511.5	116.78	10.047	62.946	0.715	0.73	1.289	0.35064	3.427	2.359	95.278
1511.75	114.148	10.08	64.0745	0.6835	0.7	1.2595	0.349925	3.446	2.368	95.477
1512	113.572	10.073	65.858	0.656	0.669	1.231	0.34816	3.44	2.376	95.683
1512.25	114.674	10.0545	69.032	0.653	0.666	1.175	0.354675	3.489	2.3585	95.824
1512.5	112.969	10.038	72.164	0.671	0.698	1.168	0.35635	3.557	2.349	95.578
1512.75	107.1425	9.9945	69.5385	0.703	0.743	1.296	0.34564	3.6455	2.372	94.8505
1513	103.52	10.025	63.284	0.75	0.782	1.401	0.33926	3.673	2.391	94.295
1513.25	105.7265	10.227	60.423	0.799	0.804	1.373	0.341335	3.666	2.38	94.3625
1513.5	108.526	10.369	61.833	0.818	0.801	1.327	0.33994	3.585	2.367	94.776
1513.75	109.481	10.311	63.163	0.7935	0.7815	1.294	0.3382	3.503	2.3715	95.012
1514	110.702	10.25	63.836	0.754	0.757	1.285	0.34424	3.48	2.374	95.067
1514.25	112.2145	10.277	66.6985	0.723	0.7385	1.283	0.352675	3.47	2.3625	95.2055
1514.5	113.647	10.369	69.454	0.703	0.728	1.271	0.35916	3.443	2.352	95.414
1514.75	114.2975	10.4825	70.168	0.6835	0.721	1.264	0.35757	3.436	2.3535	95.651
1515	114.074	10.467	70.405	0.657	0.706	1.27	0.35047	3.406	2.367	95.88
1515.25	114.513	10.259	76.7945	0.6335	0.68	1.278	0.34824	3.3805	2.3675	96.2425
1515.5	117.246	9.983	91.672	0.638	0.668	1.236	0.34705	3.366	2.342	96.823
1515.75	118.128	9.776	96.8505	0.6925	0.7145	1.153	0.3399	3.3425	2.33	97.312
1516	107.613	9.609	82.446	0.793	0.843	1.202	0.31781	3.344	2.369	97.366
1516.25	88.9825	9.385	61.4365	0.928	1.0235	1.628	0.25735	3.693	2.457	97.1825
1516.5	79.001	9.207	47.291	1.077	1.149	2.228	0.20391	4.374	2.514	97.249
1516.75	85.59	9.168	47.011	1.1985	1.1665	2.0155	0.189085	4.4305	2.485	97.8045
1517	99.392	9.183	54.961	1.231	1.12	1.606	0.21528	3.945	2.443	98.49
1517.25	107.6525	9.197	60.731	1.1605	1.0615	1.452	0.25655	3.582	2.4325	98.7875
1517.5	108.185	9.197	63.021	1.073	1.025	1.45	0.26796	3.345	2.438	98.88
1517.75	106.1765	9.1895	61.6545	1.028	1.017	1.5095	0.26431	3.2655	2.449	99.2225
1518	105.738	9.192	58.891	1.03	1.03	1.551	0.25601	3.261	2.455	99.745
1518.25	105.9545	9.2105	61.0905	1.0645	1.0585	1.544	0.25831	3.3	2.4495	99.986
1518.5	104.723	9.25	68.051	1.097	1.095	1.555	0.27022	3.546	2.447	99.608
1518.75	101.5965	9.313	72.2795	1.106	1.116	1.625	0.27378	3.8765	2.454	98.9155
1519	98.141	9.389	70.412	1.098	1.105	1.67	0.27826	3.926	2.457	98.582
1519.25	97.5125	9.4795	70.0295	1.0815	1.0685	1.618	0.27972	3.747	2.4535	98.5895
1519.5	100.565	9.59	72.614	1.055	1.027	1.545	0.29055	3.606	2.444	98.462
1519.75	105.0565	9.6925	72.91	1.021	1	1.491	0.30853	3.62	2.434	98.0595
1520	108.091	9.751	71.878	0.988	0.987	1.478	0.31704	3.644	2.438	97.755
