DEPTH,KHINF,KHAIR,PORHE,KVINF,CLI,DCOR,GR,LLD,LLD
1555.55,19.5,22.6,0.235,10.7,8.294620000000005,-0.006243199999999824,37.78480000000126,46.3724999999977,46.3724999999977
1556.2,10.5,12.4,0.225,3.32,8.264180000000003,-0.0023547999999998437,25.681039999999502,127.15170000000774,127.15170000000774
1556.52,6.29,7.31,0.165,0.479,8.311144,-0.003562279999999852,23.3857280000001,154.23922399999964,154.23922399999964
1557.07,0.01,0.021,0.156,0.012,8.320604,-0.007663640000000334,21.220999999999727,128.21656800000602,128.21656800000602
1557.55,3.42,4.1,0.175,6.2,8.328879999999998,-0.004883600000000475,22.600020000000427,86.31870000000245,86.31870000000245
1558.24,7.19,8.68,0.205,4.92,8.356760000000001,-0.009113000000000211,22.29500000000008,59.31059599999968,59.31059599999968
1558.64,9.44,11.5,0.232,24.0,8.351639999999993,-0.00917643999999848,20.551499999998686,48.003599999999224,48.003599999999224
1559.09,27.1,32.5,0.258,20.0,8.331716000000002,-0.004143440000000466,19.41479599999902,46.17839999999912,46.17839999999912
1559.52,28.0,33.8,0.235,4.13,8.34164,-0.003422959999999961,24.850999999999758,50.97097599999966,50.97097599999966
1560.09,16.6,19.7,0.233,5.82,8.359827999999998,-0.0031017600000001503,39.09729999999734,56.1203000000009,56.1203000000009
1560.55,17.0,19.9,0.224,19.4,8.375619999999998,-0.00460499999999972,47.125119999999754,50.018060000000816,50.018060000000816
1561.09,40.0,45.9,0.28,22.9,8.413171999999998,-0.007374960000000152,44.250944000000494,46.27229999999979,46.27229999999979
1561.57,0.826,1.1,0.142,0.455,8.406144000000003,-0.0044079200000006905,43.8026599999993,47.29589999999988,47.29589999999988
1562.08,0.672,0.897,0.148,0.861,8.386032,0.0014235599999994231,49.316068000001124,45.156368000000704,45.156368000000704
1562.52,1.2,1.58,0.159,0.528,8.38076,0.003732120000000164,36.93120000000012,40.1097920000002,40.1097920000002
